Cell ID,Cell Latitude,Cell Longitude,Cell Altitude,Hex Point 1 Lat,Hex Point 1 Long,Hex Point 2 Lat,Hex Point 2 Long,Hex Point 3 Lat,Hex Point 3 Long,Hex Point 4 Lat,Hex Point 4 Long,Hex Point 5 Lat,Hex Point 5 Long,Hex Point 6 Lat,Hex Point 6 Long,PSS
75,29.50331717,129.5982652,0,29.698039,129.690298,29.665066,129.43575,29.470302,129.344402,29.308752,129.506697,29.341611,129.760097,29.536133,129.852347,0
76,28.33183883,129.0557218,0,28.527771,129.145013,28.493484,128.894525,28.297513,128.8059,28.136058,128.966877,28.170233,129.216254,28.365974,129.305762,0
77,27.74333883,128.7905108,0,27.939892,128.878474,27.904954,128.629975,27.708364,128.542668,27.546935,128.702984,27.581761,128.950392,27.778127,129.038572,1
78,26.5606585,128.2717847,0,26.758486,128.357176,26.722257,128.112572,26.524396,128.027819,26.362975,128.186811,26.399094,128.43036,26.596743,128.51597,0
79,36.03798433,133.2915667,0,36.226316,133.402458,36.201821,133.122392,36.013417,133.012305,35.849833,133.181279,35.874221,133.45994,36.062298,133.571026,1
80,35.47251183,132.9624967,0,35.661343,133.071591,35.636113,132.793925,35.447212,132.685624,35.283859,132.853992,35.308981,133.130278,35.497563,133.23957,1
81,34.90552483,132.638736,245,35.094864,132.746074,35.068906,132.470774,34.8795,132.364218,34.716362,132.531975,34.742211,132.805919,34.931306,132.913456,1
82,34.33699933,132.320165,4,34.526854,132.425786,34.500177,132.152819,34.310258,132.047968,34.147319,132.215108,34.173886,132.486743,34.363502,132.592566,1
83,33.7669095,132.0066668,0,33.957289,132.11061,33.9299,131.839942,33.739459,131.736759,33.576702,131.903275,33.603981,132.172634,33.794126,132.276781,1
84,33.19523083,131.6981275,27,33.386143,131.80043,33.358049,131.532029,33.167078,131.430476,33.004488,131.596364,33.032472,131.863479,33.223155,131.965987,1
85,32.62193633,131.3944375,355,32.813391,131.495136,32.784598,131.22897,32.593087,131.12901,32.43065,131.294266,32.459331,131.559169,32.650561,131.660074,1
86,32.04699933,131.0954888,527,32.239004,131.194618,32.20952,130.930656,32.017461,130.832254,31.85516,130.996875,31.884533,131.259596,32.076318,131.358934,1
87,31.470393,130.8011772,766,31.662958,130.898772,31.632788,130.636982,31.440171,130.540105,31.277991,130.704086,31.30805,130.964657,31.5004,131.062461,1
88,30.89208933,130.5114017,0,31.085224,130.607496,31.054373,130.347848,30.86119,130.252461,30.699116,130.4158,30.729855,130.67425,30.922778,130.770555,1
89,30.31206067,130.2260623,0,30.505774,130.320688,30.474249,130.063152,30.280489,129.969224,30.118506,130.131919,30.14992,130.388277,30.343426,130.483114,1
90,29.73027767,129.9450642,0,29.924579,130.038254,29.892385,129.7828,29.698039,129.690298,29.536133,129.852347,29.568215,130.106642,29.762315,130.200044,1
91,28.56133033,129.3957188,0,28.756839,129.486127,28.72332,129.234753,28.527771,129.145013,28.365974,129.305762,28.399381,129.556018,28.594697,129.64664,2
92,27.97410517,129.127192,0,28.170233,129.216254,28.136058,128.966877,27.939892,128.878474,27.778127,129.038572,27.812191,129.286849,28.00813,129.376126,2
93,27.38500417,128.8626473,0,27.581761,128.950392,27.546935,128.702984,27.350141,128.61589,27.188395,128.775336,27.22311,129.021662,27.419683,129.10962,2
94,35.68580267,133.3494558,0,35.874221,133.45994,35.849833,133.181279,35.661343,133.071591,35.497563,133.23957,35.521845,133.516839,35.710011,133.627516,2
95,35.12005517,133.0215747,534,35.308981,133.130278,35.283859,132.853992,35.094864,132.746074,34.931306,132.913456,34.956321,133.188375,35.145,133.297273,2
96,34.55276917,132.6989565,561,34.742211,132.805919,34.716362,132.531975,34.526854,132.425786,34.363502,132.592566,34.389243,132.865167,34.578443,132.972326,2
97,33.98392017,132.3814827,0,34.173886,132.486743,34.147319,132.215108,33.957289,132.11061,33.794126,132.276781,33.820586,132.547097,34.010315,132.652557,2
98,33.41348283,132.0690375,0,33.603981,132.172634,33.576702,131.903275,33.386143,131.80043,33.223155,131.965987,33.250325,132.234051,33.440591,132.337848,2
99,32.84143233,131.7615097,391,33.032472,131.863479,33.004488,131.596364,32.813391,131.495136,32.650561,131.660074,32.678435,131.925916,32.869247,132.028089,2
100,32.2677415,131.4587903,736,32.459331,131.559169,32.43065,131.294266,32.239004,131.194618,32.076318,131.358934,32.104889,131.622586,32.296257,131.723169,2
101,31.6923845,131.1607732,650,31.884533,131.259596,31.85516,130.996875,31.662958,130.898772,31.5004,131.062461,31.529663,131.323953,31.721593,131.422982,2
102,31.11533333,130.8673558,549,31.30805,130.964657,31.277991,130.704086,31.085224,130.607496,30.922778,130.770555,30.952727,131.029917,31.14523,131.127424,2
103,30.536561,130.5784373,0,30.729855,130.67425,30.699116,130.4158,30.505774,130.320688,30.343426,130.483114,30.374055,130.740376,30.56714,130.836396,2
104,28.20368067,129.4658475,0,28.399381,129.556018,28.365974,129.305762,28.170233,129.216254,28.00813,129.376126,28.041428,129.625272,28.236938,129.715653,1
105,35.3333345,133.4067595,209,35.521845,133.516839,35.497563,133.23957,35.308981,133.130278,35.145,133.297273,35.169178,133.573164,35.35744,133.683433,0
106,34.767295,133.080061,386,34.956321,133.188375,34.931306,132.913456,34.742211,132.805919,34.578443,132.972326,34.603353,133.245892,34.792136,133.354398,0
107,34.19969283,132.7585787,0,34.389243,132.865167,34.363502,132.592566,34.173886,132.486743,34.010315,132.652557,34.03595,132.923828,34.225261,133.030611,0
108,33.63050333,132.4421957,0,33.820586,132.547097,33.794126,132.276781,33.603981,132.172634,33.440591,132.337848,33.466944,132.606858,33.656792,132.711956,0
109,33.05970217,132.130799,0,33.250325,132.234051,33.223155,131.965987,33.032472,131.863479,32.869247,132.028089,32.89631,132.294869,33.086704,132.398319,0
110,32.487263,131.8242775,0,32.678435,131.925916,32.650561,131.660074,32.459331,131.559169,32.296257,131.723169,32.324023,131.987749,32.514971,132.089588,0
111,31.9131595,131.5225247,0,32.104889,131.622586,32.076318,131.358934,31.884533,131.259596,31.721593,131.422982,31.750057,131.685394,31.941567,131.785656,0
112,31.33736583,131.2254353,0,31.529663,131.323953,31.5004,131.062461,31.30805,130.964657,31.14523,131.127424,31.174385,131.387698,31.366467,131.486419,0
113,30.75985383,130.9329087,0,30.952727,131.029917,30.922778,130.770555,30.729855,130.67425,30.56714,130.836396,30.59698,131.094561,30.789643,131.191773,0
114,30.18059633,130.644845,0,30.374055,130.740376,30.343426,130.483114,30.14992,130.388277,29.987295,130.549799,30.017815,130.805884,30.211067,130.90162,0
115,28.432061,129.8064857,0,28.627334,129.897773,28.594697,129.64664,28.399381,129.556018,28.236938,129.715653,28.269468,129.965668,28.464548,130.057162,0
116,45.468831,140.8106755,0,45.64881,140.96273,45.640589,140.635777,45.460455,140.48474,45.289057,140.659545,45.297228,140.98456,45.476847,141.136701,1
117,35.54535617,133.7942992,0,35.733448,133.905766,35.710011,133.627516,35.521845,133.516839,35.35744,133.683433,35.380776,133.960295,35.568617,134.071946,1
118,34.98057,133.4634873,346,35.169178,133.573164,35.145,133.297273,34.956321,133.188375,34.792136,133.354398,34.816211,133.628925,35.004574,133.738789,1
119,34.4142215,133.137964,288,34.603353,133.245892,34.578443,132.972326,34.389243,132.865167,34.225261,133.030611,34.250069,133.302836,34.43896,133.410952,1
120,33.84628633,132.8176112,163,34.03595,132.923828,34.010315,132.652557,33.820586,132.547097,33.656792,132.711956,33.682324,132.98191,33.871751,133.088319,1
121,33.27674017,132.5023137,143,33.466944,132.606858,33.440591,132.337848,33.250325,132.234051,33.086704,132.398319,33.112952,132.666034,33.302925,132.770772,1
122,31.55818133,131.5856495,0,31.750057,131.685394,31.721593,131.422982,31.529663,131.323953,31.366467,131.486419,31.394825,131.747603,31.586483,131.847546,1
123,30.40394517,130.9978443,0,30.59698,131.094561,30.56714,130.836396,30.374055,130.740376,30.211067,130.90162,30.240801,131.158598,30.433628,131.255515,1
124,35.75611333,134.1842023,0,35.943785,134.297068,35.921197,134.017839,35.733448,133.905766,35.568617,134.071946,35.591107,134.349775,35.778526,134.46282,2
125,35.19258817,133.8492438,962,35.380776,133.960295,35.35744,133.683433,35.169178,133.573164,35.004574,133.738789,35.027811,134.014275,35.21575,134.125507,2
126,34.62749983,133.5196473,254,34.816211,133.628925,34.792136,133.354398,34.603353,133.245892,34.43896,133.410952,34.462935,133.684128,34.651404,133.793589,2
127,34.06082533,133.1952927,0,34.250069,133.302836,34.225261,133.030611,34.03595,132.923828,33.871751,133.088319,33.896458,133.359216,34.085463,133.466946,2
128,33.4925405,132.8760627,119,33.682324,132.98191,33.656792,132.711956,33.466944,132.606858,33.302925,132.770772,33.328354,133.039422,33.517904,133.145458,2
129,32.92262067,132.561845,0,33.112952,132.666034,33.086704,132.398319,32.89631,132.294869,32.732455,132.4582,32.7586,132.724634,32.948703,132.829014,2
130,28.30126933,130.215888,0,28.496306,130.308045,28.464548,130.057162,28.269468,129.965668,28.106381,130.124189,28.138034,130.373953,28.332879,130.466311,1
131,45.30453333,141.309661,0,45.483995,141.46281,45.476847,141.136701,45.297228,140.98456,45.125272,141.157437,45.132377,141.481617,45.311481,141.634841,0
132,35.40334217,134.2373392,40,35.591107,134.349775,35.568617,134.071946,35.380776,133.960295,35.21575,134.125507,35.238144,134.40195,35.425659,134.514562,0
133,34.83952167,133.903637,52,35.027811,134.014275,35.004574,133.738789,34.816211,133.628925,34.651404,133.793589,34.674543,134.067714,34.862587,134.17853,0
134,34.27411433,133.5752482,0,34.462935,133.684128,34.43896,133.410952,34.250069,133.302836,34.085463,133.466946,34.109339,133.738783,34.29792,133.847844,0
135,33.707097,133.2520548,909,33.896458,133.359216,33.871751,133.088319,33.682324,132.98191,33.517904,133.145458,33.54251,133.415041,33.731635,133.522385,0
136,33.13844567,132.933942,628,33.328354,133.039422,33.302925,132.770772,33.112952,132.666034,32.948703,132.829014,32.974031,133.096372,33.163709,133.202038,0
137,32.56813583,132.620798,0,32.7586,132.724634,32.732455,132.4582,32.541929,132.355096,32.377835,132.517502,32.403879,132.782666,32.594117,132.88669,0
138,45.49027633,141.788994,0,45.669271,141.944085,45.663151,141.616892,45.483995,141.46281,45.311481,141.634841,45.317563,141.960091,45.496197,142.115245,1
139,44.952965,141.3293158,0,45.132377,141.481617,45.125272,141.157437,44.945705,141.006132,44.773751,141.177929,44.780813,141.500203,44.959872,141.652577,1
140,35.6128255,134.6277818,21,35.800165,134.741614,35.778526,134.46282,35.591107,134.349775,35.425659,134.514562,35.447204,134.791959,35.634292,134.905961,1
141,35.05027983,134.289941,231,35.238144,134.40195,35.21575,134.125507,35.027811,134.014275,34.862587,134.17853,34.884885,134.453601,35.072502,134.565783,1
142,34.48614683,133.9574863,0,34.674543,134.067714,34.651404,133.793589,34.462935,133.684128,34.29792,133.847844,34.320963,134.12062,34.509116,134.231023,1
143,33.92040383,133.6302982,626,34.109339,133.738783,34.085463,133.466946,33.896458,133.359216,33.731635,133.522385,33.755415,133.792898,33.944113,133.901561,1
144,33.353027,133.3082595,0,33.54251,133.415041,33.517904,133.145458,33.328354,133.039422,33.163709,133.202038,33.188217,133.470318,33.377468,133.57728,1
145,32.78399267,132.9912573,110,32.974031,133.096372,32.948703,132.829014,32.7586,132.724634,32.594117,132.88669,32.619347,133.152768,32.809158,133.258066,1
146,45.13861917,141.8058705,22,45.317563,141.960091,45.311481,141.634841,45.132377,141.481617,44.959872,141.652577,44.965917,141.975907,45.144505,142.13019,2
147,43.52321283,140.458701,0,43.70345,140.604846,43.694479,140.288409,43.5141,140.143222,43.343169,140.313417,43.352089,140.628039,43.53199,140.774273,2
148,42.43972067,139.5996802,0,42.620843,139.740759,42.610028,139.430003,42.428774,139.289856,42.258789,139.459422,42.269545,139.768429,42.450345,139.909612,2
149,35.82103117,135.0205793,0,36.007943,135.135818,35.987158,134.856062,35.800165,134.741614,35.634292,134.905961,35.654986,135.184309,35.841643,135.299712,2
150,35.259768,134.6785678,499,35.447204,134.791959,35.425659,134.514562,35.238144,134.40195,35.072502,134.565783,35.093956,134.841797,35.281143,134.955356,2
151,34.6969165,134.3420153,0,34.884885,134.453601,34.862587,134.17853,34.674543,134.067714,34.509116,134.231023,34.531322,134.504734,34.719046,134.61649,2
152,34.13245433,134.0108005,591,34.320963,134.12062,34.29792,133.847844,34.109339,133.738783,33.944113,133.901561,33.967061,134.173001,34.15533,134.282994,2
153,33.56635883,133.6848053,15,33.755415,133.792898,33.731635,133.522385,33.54251,133.415041,33.377468,133.57728,33.401152,133.84648,33.589973,133.954748,2
154,32.99860583,133.3639147,0,33.188217,133.470318,33.163709,133.202038,32.974031,133.096372,32.809158,133.258066,32.833569,133.525056,33.022951,133.631638,2
155,45.32277967,142.2854037,0,45.50125,142.441556,45.496197,142.115245,45.317563,141.960091,45.144505,142.13019,45.149526,142.454568,45.327637,142.610772,0
156,44.787016,141.8225482,75,44.965917,141.975907,44.959872,141.652577,44.780813,141.500203,44.608309,141.670105,44.614318,141.991538,44.792867,142.144959,0
157,44.24995133,141.3679368,0,44.429288,141.51857,44.422267,141.198181,44.24278,141.04852,44.070808,141.218198,44.077787,141.536724,44.256778,141.687428,0
158,43.17186883,140.482663,402,43.352089,140.628039,43.343169,140.313417,43.162809,140.168988,42.99184,140.338139,43.000709,140.650966,43.180597,140.796429,0
159,42.63082333,140.0516207,339,42.811492,140.194461,42.801646,139.882666,42.620843,139.740759,42.450345,139.909612,42.460135,140.219645,42.640479,140.362581,0
160,42.088423,139.6280635,0,42.269545,139.768429,42.258789,139.459422,42.077537,139.319978,41.90749,139.48851,41.918187,139.795787,42.09899,139.936255,0
161,35.46797933,135.0695252,421,35.654986,135.184309,35.634292,134.905961,35.447204,134.791959,35.281143,134.955356,35.301748,135.23231,35.488503,135.347256,0
162,34.90641667,134.728843,52,35.093956,134.841797,35.072502,134.565783,34.884885,134.453601,34.719046,134.61649,34.740409,134.891134,34.927702,135.004253,0
163,34.34324267,134.3935702,0,34.531322,134.504734,34.509116,134.231023,34.320963,134.12062,34.15533,134.282994,34.177444,134.555359,34.365281,134.666691,0
164,33.77843467,134.0635872,117,33.967061,134.173001,33.944113,133.901561,33.755415,133.792898,33.589973,133.954748,33.612828,134.224865,33.801218,134.33445,0
165,44.97110067,142.2992995,45,45.149526,142.454568,45.144505,142.13019,44.965917,141.975907,44.792867,142.144959,44.797859,142.467427,44.97593,142.622746,1
166,44.4354525,141.8390302,174,44.614318,141.991538,44.608309,141.670105,44.429288,141.51857,44.256778,141.687428,44.262752,142.006986,44.44127,142.159554,1
167,43.89847783,141.3869115,0,44.077787,141.536724,44.070808,141.218198,43.891349,141.069346,43.719359,141.237983,43.726298,141.554668,43.905266,141.70455,1
168,43.36016483,140.9427487,0,43.539922,141.089931,43.53199,140.774273,43.352089,140.628039,43.180597,140.796429,43.188484,141.11028,43.367907,141.25754,1
169,42.82049967,140.5063522,118,43.000709,140.650966,42.99184,140.338139,42.811492,140.194461,42.640479,140.362581,42.649298,140.673633,42.82918,140.818333,1
170,42.279469,140.0775388,338,42.460135,140.219645,42.450345,139.909612,42.269545,139.768429,42.09899,139.936255,42.108727,140.244546,42.289072,140.386746,1
171,37.34623617,136.5315042,0,37.531251,136.653514,37.513773,136.366998,37.328663,136.245805,37.161396,136.410161,37.178794,136.695196,37.36354,136.817351,1
