Cell ID,Cell Latitude,Cell Longitude,Cell Altitude,Hex Point 1 Lat,Hex Point 1 Long,Hex Point 2 Lat,Hex Point 2 Long,Hex Point 3 Lat,Hex Point 3 Long,Hex Point 4 Lat,Hex Point 4 Long,Hex Point 5 Lat,Hex Point 5 Long,Hex Point 6 Lat,Hex Point 6 Long,PSS,GW Site
92,35.79678583,-120.8129577,271.0,36.004001,-120.882306,35.852288,-121.071884,35.645319,-121.002158,35.589817,-120.743986,35.741038,-120.55441,35.948252,-120.623002,2,19
93,35.17516567,-120.6071595,107.0,35.382611,-120.675387,35.231149,-120.863836,35.023945,-120.795235,34.967962,-120.5393,35.118942,-120.350858,35.326385,-120.418341,2,19
94,34.55282017,-120.4046725,133.0,34.760514,-120.471805,34.609284,-120.659136,34.401825,-120.591633,34.345363,-120.337899,34.496122,-120.150581,34.703813,-120.216981,2,19
95,33.92969217,-120.2054188,0.0,34.137654,-120.271482,33.986636,-120.457705,33.778903,-120.391275,33.721962,-120.139706,33.87252,-119.953501,34.080478,-120.018844,2,19
96,45.44048917,-124.239578,0.0,45.647106,-124.329684,45.48878,-124.53875,45.282531,-124.448213,45.23421,-124.150027,45.391832,-123.940839,45.598476,-124.029955,0,19
97,44.82134917,-123.9725675,7.0,45.027832,-124.061025,44.870163,-124.268801,44.664038,-124.179916,44.615197,-123.88465,44.772179,-123.676764,44.978686,-123.764249,0,19
98,44.20255733,-123.710416,302.0,44.408935,-123.797268,44.251889,-124.003763,44.04586,-123.916487,43.996504,-123.62409,44.152878,-123.417496,44.359278,-123.503392,0,19
99,43.58403,-123.4529963,298.0,43.790329,-123.538285,43.633875,-123.743509,43.427915,-123.657798,43.378048,-123.36822,43.533847,-123.162908,43.740166,-123.247258,0,19
100,42.96568617,-123.2001852,239.0,43.171934,-123.283951,43.016041,-123.487912,42.810122,-123.403728,42.759749,-123.116918,42.915003,-122.912879,43.121268,-122.995723,0,19
101,42.347448,-122.9518632,452.0,42.553671,-123.034145,42.398308,-123.236854,42.192406,-123.154156,42.14153,-122.870067,42.296268,-122.66729,42.502505,-122.748667,0,19
102,41.72923983,-122.7079152,1007.0,41.935462,-122.788752,41.780601,-122.990217,41.574692,-122.908967,41.523316,-122.627552,41.677567,-122.426028,41.883801,-122.505975,0,19
